author,rating,title,content
,"1,5",,"Répétition en boucle: les votes ,les jeux et entre temps des longueurs interminables, la série s'enferme dans la répétition, elle n'arrive pas à évoluée, elle stagne, inutile de poursuivre avec une suite, car ça devient vraiment lourd!"
,"3,5",,"Une saison en demi teinte. Un début très lourd et long à redémarrer, avec vraiment un sentiment de répétition et de lassitude. Mais bon la série reste efficace et nous entraîne très vite dans ses rouages notamment grâce à de nouveaux jeux. Mais comment clore une histoire et finir une nouvelle session de jeu aussi rapidement ? Et c’est là le gros problème, beaucoup d’incohérences s’enchaînent, les situations dramatiques se superposent tellement qu’on en perd l’émotion et le finale est vraiment plus que bâclé. C’est dommage. Je reste convaincu que « Squid Game » aurait pu s’arrêter après une seule saison, car elle se suffisait largement à elle même. À trop vouloir en rajouter, les créateurs ont gâché leur œuvre. La série n’en restera pas moins mémorable pour sa critique acerbe de la nature humaine et de son avidité financière ultra présente dans la société actuelle."
,"0,5",,"Une saison nullissime qui n'a plus que son nom pour convaincre ceux qui se raccrochent au souvenir d'un Squid Game révolutionnaire et dynamique et à qui veulent croire que la magie opère toujours !Personnellement la Saison 2 m'avait déjà beaucoup déçu, mais cette saison 3 est clairement pathétique !  
spoiler: 
Elle ne surprend plus, c'est du réchauffé, il n'y plus aucun personnage charismatique, que des guignols sans intérêt comme l'autre illuminée qui parle avec ses dieux, la mamie lourdingue ou tous ces trop nombreux gnangnans qui pleurnichent sans arrêt ! Tout est trop mou et grotesque, ça joue mal, c'est trop prévisible, il n'y a plus aucune émotion qui passe et les trop rares jeux sont nuls. On s'ennuie ferme ! 

Bref, je n'ai eu qu'une envie tout au long de ces interminables épisodes, c'est d'appuyer sur le bouton ""avance rapide"" pour enfin arriver à la fin et ne plus jamais regarder cette bouse !!"
,"2,5",,"Je ne comprends comment après avoir tracé si finement les contours d'une telle histoire pendant les 2 saisons précédentes, on puisse se vautrer si violemment dans la conclusion du récit. Quelle évolution au final par rapport au final de la saison 1? La seule morale se résumant à la phrase finale de Seong, suivi d'un super plan sur les bouches des VIP pour montrer l'énorme impact émotionnel de son choix. On passera sur l'IA dégueulasse du bébé (je passe pour le chien), qui en plus est considéré comme central a l'histoire, donc censé declencher l'empathie du spectateur? (c'est pas le cas tout le monde s'en fout).Sur la forme pourtant la saison démarrait bien sur 2 épisodes et demi, avant que l'envie d'appuyer sur avance rapide se précipite sur nous en raison de longueurs insupportables (le dernier jeu quelle purge, ""alors on va voter pour savoir qui vote pour savoir quel jeu on fait pour savoir qui éliminer"", a l'aide)Quel gachis"
,"0,5",,Scénario écrit avec les pieds. On se fait prendre pour des idiots pour les scénaristes. Beaucoup de scènes absurdes qui cassent les règles établies par ces derniers. Des notes de piano pour essayer de nous faire ressentir des émotions ça ne suffit pas.
,"0,5",,"ATTENTION SPOILERS : Je suis un très grand fan de Squid Game et j'ai adoré la deuxième saison, plus douce dans certaines relations de personnages et avec plus d'espoirs de survie. Et pendant 6 mois à attendre, je me suis attaché à ces personnages avec l'espoir que certains d'entre eux puissent survivre. Puis la saison 3 à débarqué et en 4 épisodes, on perd tous ceux pour qui on avait de l’espoir dans un amas de violence gratuite et parfois exagérer. La morale de Gi-Hun n’a aucun sens par ailleurs, il refuse de tuer les finalistes qui n’on été que des monstres jusqu’ici, mais étrangler à mort son coéquipier (Kang Dae-Ho) ça ne le dérange pas plus que cela. Il n’y a par ailleurs aucun révélation ou moments choques, tous était déjà présenté dans la saison 2 (ah oui, si, le pote de Thanos vote X à un moment…) ça doit être ça qui m’a le plus choqué et ça dure 2 seconde. Bref, trop déçu par cette saison qui ne mérite pas l’attente et l’envie de tout les fans de la série. Cependant les jeux restent toujours très intenses notamment la corde à sauter."
,"0,5",,"Nul vraiment... autant que la saison 2 m’avait déçu, mais celle là c’est encore pire.. des dialogues insupportables et interminables , le 456 un zombie totalement obséder par la vengeance, il est ridicule dans ces actions, 
spoiler: 
il veux se faire justice et veux sauver tout le monde mais meurt comme les autres ...
Le pink soldat fille veux sauver à tout prix le candidat 246 parce sa fille est morte , et que ce gars qu’elle ne connaît même pas a une fille malade, et qu’au final n’obtiendra rien pour soigner sa fille 
, même en étant sauver ... les insupportable personnages qui ne font que parler et répéter les mêmes choses en boucle .. 
spoiler: 
policiers qui certe trouve l’île, trop tard et a une confrontation de seulement quelques secondes avec son frère.. 
les vips insupportables tellement fakes dans leurs dialogues et leurs jeux d’acteur..En bref j’ai avancé beaucoup de scènes ou ça ne fesais que parler et des scènes exagérés... à oublier de suite tous squid game sauf pour le recruteur gong yoo, le front man et un peu le policier ... sinon à chier..
spoiler:"
,"3,0",,"Un final un poil décevant. Les épisodes sont parfois longs, les réactions des personnages les font passer pour des neuneus, et le scénario s'étiole à petit feu. Ce qui faisait la force de la première saison devient ici le point faible. Au niveau de l'interprétation, il n'y a plus que 456 qui maintient le niveau..."
,"4,0",,"""Squid Game"" s’est imposée comme le survival game le plus marquant de ces dernières années. Porté par un concept original et un univers devenu culte, la série captive par son intensité, ses rebondissements et ses personnages marquants. Elle a réussi à marquer les esprits avec son suspense, ses rebondissements et l’intensité de ses jeux qui rendent l’expérience totalement addictive. Si la suite pouvait sembler risquée après le succès planétaire de la première saison, elle est parvenue à prolonger intelligemment l’histoire. La montée en puissance des moyens de production, l’introduction de nouveaux personnages et des jeux toujours plus spectaculaires permettent de maintenir l’intérêt sur la durée. Brutale, visuellement saisissante et émotionnellement prenante, ""Squid Game"" est devenue l’une des séries réussies et incontournables de Netflix, marquant aujourd'hui parfaitement le monde de la pop culture.-17/20Critique sur Squid Game (série complète)Terminée le 03 juillet 2025, vue sur Netflix"
,"2,5",,Le drama coréen à rallonge dans toute sa splendeur. Un peu mieux que la saison 2 mais tellement loin de la saison 1.
